"ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM.","AVERAGE_LAT","AVERAGE_LON"
"ADAKITE [16285]",17.67,38.46,4.08,14.08,2.58,0.67,2.35,0.26,1.47,0.28,0.79,0.13,0.77,0.11,41.1,95.5
"ADAKITE [11959]",15.2,30,4.02,15.9,3.28,0.962,2.96,0.425,2.35,0.462,1.32,0.179,1.21,0.179,46.5,89.665
"ADAKITE [10558]",27.87,52.64,5.49,21.73,4.24,1.13,3.08,0.42,1.8,0.27,0.92,0.15,1.01,0.18,14.8423,75.2032
"ADAKITE [16285]",22.9,43.9,5.25,20.1,3.58,1.02,3.08,0.38,1.97,0.36,1.07,0.15,0.97,0.14,41.1,95.5
"ADAKITE [23535]",15.8632428096473,30.5879202326946,3.27753843652542,12.1587997405568,2.1079512250777,0.709689961473212,1.54758756048488,0.216958613518034,1.22799509831008,0.238154590139153,0.640004001046575,0.0940743067917287,0.619171232439362,0.0982955846563166,35.41231,133.47833
"BASALTIC-ANDESITE [15897] / BASALT [7640] / ADAKITE [28846] / ANDESITE [28817]",9.46,22.1,3.55,16.13,3.77,1.18,3.62,0.5,2.91,0.58,1.61,0.21,1.29,0.2,57.2,159.2
"ADAKITE [18473]",20.52,38.17,3.96,13.62,2.29,0.8,2.02,0.25,1.51,0.27,0.72,0.1,0.75,0.11,35.38,133.57
"ADAKITE [16629]",8.08,35.86,2.81,12.47,2.88,1.11,3.7,0.43,2.37,0.47,1.31,0.19,1.23,0.18,49.5,120.5
"ADAKITE [13546]",26.221,59.22,6.107,23.2,5.03,1.358,3.577,0.548,2.884,0.65,1.406,0.186,1.381,0.17,64.97,32.9
"ADAKITE [18473]",14.18,26.57,2.87,10.36,1.79,0.6657,1.668,0.2023,1.098,0.1952,0.5155,0.0787,0.5439,0.0836,35.38,133.57
"ADAKITE [9091]",36.57,71.6,8.09,30.93,5.21,1.81,4.29,0.6,3.38,0.62,1.62,0.23,1.63,0.23,32.32,118.3
"ADAKITE [18473]",48.58,86.81,10.39,36.51,5.122,1.629,4.429,0.5052,2.67,0.4788,1.256,0.1868,1.16,0.1805,35.38,133.57
"ADAKITE [5582]",15.3,32,3.36,12.451,2.329,0.937,2.09,0.262,1.3,0.23,0.55,0.091,0.53,0.219,48.8,-85
"ADAKITE [11935]",16.87,33.86,4.04,14.67,2.22,0.69,1.41,0.19,0.89,0.16,0.43,0.06,0.38,0.06,44,83
"ADAKITE [14883]",20.9,42,4.68,2.66,17.535,0.77,2.08,0.21,1.12,0.14,0.5,0.05,0.44,0.05,29.5883,90.0483
"ADAKITE [13546]",20.225,42.308,4.743,18.425,3.459,1.016,3.138,0.377,1.911,0.368,0.902,0.119,0.737,0.099,64.97,32.9
"ADAKITE [17304]",18.3,40.1,4.8,18.6,3.86,1.2,3.22,0.51,2.9,0.6,1.59,0.24,1.55,0.24,35.9167,137.8667
"ADAKITE [17304]",45.35,98.27,10.73,40.4,6.32,1.71,4.94,0.7,3.1,0.5,1.51,0.24,1.53,0.21,36.15,136.5
"ADAKITE [14883]",18.98,43.28,5.56,21.02,3.45,0.753,2.188,0.313,1.426,0.25,0.654,0.096,0.552,0.0869,29.5883,90.0483
"ADAKITE [13224]",19.63,41.2,4.45,17.57,3.29,1.01,2.48,0.36,1.74,0.31,1.03,0.17,1.03,0.16,16.2,76.7
"ADAKITE [23535]",18.9472433225678,33.9136280342345,3.96363788546907,14.5579133775778,2.41033242833839,0.730096913377166,1.78611601486849,0.250297492121928,1.36007731208255,0.27201906931724,0.725199934057768,0.10771917881492,0.686909383600626,0.108962290489263,35.41231,133.47833
"ADAKITE [5575]",44.3,94.4,11.52,46.619,8.4,1.895,5.85,0.652,3.34,0.57,1.41,0.19,1.18,0.203,49.25,-85.5
"ADAKITE [28846] / CALC-ALKALI BASALT [5736]",28.34,50.26,5.81,22.05,3.58,1.16,2.96,0.39,1.83,0.35,0.91,0.14,0.92,0.14,8.808,-82.543
"ADAKITE [13550]",20.45,37.96,3.88,14.99,2.98,0.81,2.6,0.4,2.06,0.36,1.15,0.18,1.11,0.17,16.125,78.75
"ADAKITE [11924]",24.4,47.7,5.3,19.8,3.22,0.87,2.43,0.27,1.25,0.21,0.6,0.081,0.53,0.082,29.69,91.75
"ADAKITE [12271]",25.3,47.45,4.87,18.52,2.89,0.97,2.3,0.28,1,0.16,0.54,0.07,0.41,0.07,12.93,78.27
"ADAKITE [19258]",18.36,32.54,3.08,10.86,1.84,0.59,1.53,0.2,0.83,0.16,0.43,0.07,0.42,0.06,14,78.45
"ADAKITE [19488]",33.3,71.8,9,33.8,5.9,1.6,4,0.5,2.5,0.4,1,0.1,0.9,0.2,17.85,-99.675
"ADAKITE [23500]",24.35,51.02,6.01,23.18,4.36,1.26,3.98,0.54,3.22,0.65,1.78,0.28,1.81,0.3,38,99
"ADAKITE [23535]",17.3733898609664,33.1387912904732,3.46710776848483,12.7869167052443,2.17678346375461,0.69778039043156,1.69690091764793,0.24176585887646,1.34380729740041,0.274933044730602,0.720403573463745,0.109954950994255,0.704548545558606,0.108921355741219,35.36904,133.47329
"ADAKITE [28901]",61.2,113,12.2,42.9,6.47,1.54,4.69,0.6,2.75,0.48,1.21,0.16,1.04,0.15,33.12,85.12
"ADAKITE [19258]",17.27,31.73,2.98,10.56,1.83,0.63,1.44,0.2,0.84,0.15,0.44,0.07,0.44,0.07,14,78.45
"ADAKITE [12247]",66.54,113.8,11.69,38.59,5.405,1.066,3.428,0.444,2.027,0.35,0.896,0.127,0.755,0.123,34.5,89
"ADAKITE [18473]",34.3627272727273,66.0672727272727,8.36109090909091,32.24,5.65309090909091,1.67563636363636,4.73181818181818,0.631254545454545,3.55018181818182,0.728536363636364,1.99918181818182,0.294236363636364,1.86445454545455,0.287772727272727,34.5,132
"ADAKITE [13546]",47.123,95.477,10.94,46.377,7.793,1.911,6.394,0.672,2.927,0.525,1.388,0.187,1.074,0.16,64.97,32.9
"ADAKITE [10558]",27.61,53.94,5.68,22.3,4.23,1.09,2.95,0.41,1.68,0.25,0.86,0.14,0.98,0.18,14.8423,75.2032
"ADAKITE [12642]",36.96,63.76,6.11,21.48,3.33,0.89,2.38,0.28,1,0.15,0.44,0.05,0.36,0.05,15.14,76.77
"ADAKITE [19488]",28.8,61.6,7.9,33.2,6.1,1.7,4.7,0.6,2.9,0.5,1.2,0.2,1.2,0.2,17.85,-99.675
"ADAKITE [11959]",17.9,36.9,4.76,20.2,4.277,1.25,4.19,0.592,3.4,0.665,1.76,0.277,1.86,0.293,46.5432,89.5758
"ADAKITE [18111]",26.9,54.4,6.31,26.6,5.12,1.54,4.42,0.62,3.5,0.7,1.89,0.28,1.79,0.27,46.8,89
"ADAKITE [23535]",14.2999625780923,25.8299973374931,2.76618642304129,10.0846334730358,1.80542810144483,0.676934875085213,1.33605661981732,0.18613119072629,1.0195547360005,0.194292469097301,0.538671078496967,0.0745743743267108,0.501210865881103,0.071401566672971,35.45969,133.55195
"ADAKITE [10364]",18.2,35.6,4.71,19.3,3.64,1.38,3.93,0.36,1.72,0.31,0.78,0.11,0.68,0.11,29.7,89.9
"ADAKITE [14883]",17.8,37.8,3.88,2.593,15.965,0.65,1.75,0.17,0.99,0.13,0.47,0.06,0.45,0.06,29.6158,89.9683
"ADAKITE [13224]",30,57.09,5.79,21.36,3.26,1.11,2.48,0.28,1.01,0.15,0.47,0.06,0.41,0.06,16.2,76.7
"ADAKITE [23535]",19.7729690286395,37.2252392268624,3.76551095655523,13.943870968085,2.26407898388144,0.793516486192606,1.5477394519395,0.217351617843346,1.15109507328809,0.214773615049935,0.591894572647188,0.0847507102459625,0.544768830333243,0.0871447325522543,35.41231,133.47833
"ADAKITE [19747]",46.6,110,13.6,53.8,9.31,2.35,6.06,0.7,3.51,0.61,1.73,0.214,1.47,0.189,34.6747,131.9069
"ADAKITE [12247]",68.88,110.4,11.99,41.53,5.86,1.523,3.086,0.453,2.226,0.399,1.037,0.137,0.863,0.132,34.5,89
"ADAKITE [16285]",22.63,47.4,5.32,21.2,3.62,0.9,2.66,0.34,1.67,0.3,0.79,0.13,0.83,0.13,41.1,95.5
"ADAKITE [12271]",48.46,88.92,9.42,35.82,6.93,1.31,4.75,0.54,2.05,0.32,1.05,0.16,1.05,0.17,13.05,76.5
"ADAKITE [5575]",20.3,43,5.13,20.1,3.84,0.949,2.83,0.313,1.68,0.31,0.87,0.121,0.79,0.121,49.25,-85.5
"ADAKITE [12813]",25.87,52.27,5.777,20.61,3.505,1.087,2.865,0.333,1.473,0.274,0.799,0.11,0.742,0.11,29.345,89.6378
"ADAKITE [16285]",19,36.3,4.31,15.1,2.38,0.85,2.51,0.3,1.52,0.27,0.82,0.1,0.7,0.1,41.1,95.5
"ADAKITE [13224]",37.66,71.26,7.04,24.69,3.52,1.17,2.32,0.25,0.84,0.13,0.41,0.06,0.36,0.06,16.2,76.7
"ANDESITE, AMPHIBOLE [13685] / ADAKITE [11974]",38.95,86.39,11.17,42.76,6.09,1.6,3.69,0.42,1.66,0.28,0.76,0.09,0.56,0.09,42.46,129
"ADAKITE [9091]",46.53,75.29,9.02,33.55,5.6,1.89,4.73,0.63,3.43,0.62,1.82,0.23,1.72,0.24,32.32,118.3
"ADAKITE [28846]",28.4,49.95,5.87,22.07,3.56,1.18,2.95,0.39,1.87,0.35,0.91,0.14,0.91,0.14,8.808,-82.543
"ADAKITE [12247]",66.41,113.5,11.94,38.36,5.361,0.999,3.139,0.415,2.035,0.339,0.875,0.126,0.733,0.12,34.5,89
"ADAKITE [18473]",18.68,36.12,3.738,13.54,2.234,0.7752,1.978,0.247,1.402,0.2598,0.6909,0.1106,0.6861,0.0995,35.38,133.57
"ADAKITE [19488]",33,69.2,8.4,33.6,4.1,1.5,3.9,0.5,2.5,0.4,1,0.1,0.9,0.2,17.85,-99.675
"ADAKITE [12247]",87.11,156.5,19.06,69.57,10.01,2.297,5.296,0.749,3.498,0.605,1.531,0.207,1.372,0.208,34.5,89
"ADAKITE [18473]",9.496,14.67,1.796,6.773,1.352,0.6991,1.174,0.1774,1.026,0.2046,0.5736,0.0903,0.5936,0.0966,35.38,133.57
"ADAKITE [9836]",10.3,22.2,2.61,10.3,2.34,0.842,2.55,0.364,2.05,0.431,1.26,0.181,1.24,0.203,45.48,81.8042
"ADAKITE [28901]",67.8,121,13,45.7,6.69,1.73,4.79,0.6,2.63,0.46,1.09,0.15,0.92,0.12,32.63,85.78
"ADAKITE [12642]",33.1,57.64,5.52,19.76,3.2,0.91,2.27,0.28,1.03,0.15,0.46,0.06,0.37,0.05,15.14,76.77
"ADAKITE [11959]",15.5,32.3,4.43,19.1,3.99,1.17,3.68,0.521,2.99,0.587,1.58,0.249,1.65,0.274,46.5,89.665
"ADAKITE [21775]",23.9,53.1,6.35,25.1,4.7,1.07,3.76,0.52,3.05,0.59,1.66,0.23,1.49,0.23,47,85
"ADAKITE [14883]",29.77,67.47,7.1,4.761,29.636,1.037,2.553,0.335,1.558,0.265,0.656,0.097,0.542,0.085,29.5883,90.0483
"ADAKITE [12271]",19.9,33.68,3.41,12.35,2.23,0.58,1.69,0.22,0.81,0.12,0.38,0.06,0.32,0.05,13.05,76.5
"ADAKITE [18473]",21.39,36.21,3.97,14.22,2.127,0.8176,2.099,0.2688,1.491,0.2847,0.782,0.1152,0.7992,0.1242,35.38,133.57
"DACITE [4349] / ADAKITE [28846]",9.95,17.8,2.4,9.67,1.74,0.63,1.43,0.2,0.94,0.17,0.46,0.08,0.48,0.08,8.58,-80.17
"BASALT [11959] / ADAKITE [9839]",45.7,107,15.4,68.1,14.04,4.19,14.1,2.04,11,2.11,5.75,0.832,5.14,0.81,46.5313,89.5758
"ADAKITE [28901]",57.9,108,11.5,40.8,6.33,1.61,4.61,0.604,2.87,0.521,1.28,0.172,1.08,0.155,32.58,85.43
"ADAKITE [23535]",12.7,23,2.3,7.8,1.2,0.5,1,0.1,0.8,0.2,0.4,0.1,0.5,0.1,35.38,133.57
"ADAKITE [5575]",5,10.8,1.23,4.7,0.97,0.313,0.8,0.101,0.5,0.1,0.27,0.04,0.2,0.03,48.6,-87.85
"ADAKITE [25760]",16.7,35.7,4.2,17.3,3.2,1,2.4,0.3,1.7,0.3,0.8,0.1,0.7,0.1,42.725,123.25
"ADAKITE [19488]",35.5,70.4,8.5,32.7,5.7,1.4,4,0.5,2.6,0.4,1.1,0.2,1.1,0.2,17.85,-99.675
"ADAKITE [19747]",38.3,93.5,11.7,46,7.76,2.05,5.07,0.6,3.04,0.54,1.53,0.2,1.34,0.164,34.6703,131.9019
"ALKALI BASALT [13292]",50.4,97.1,11.3,42.39,9.016,2.78,8.26,1.12,5.31,0.88,2.01,0.25,1.37,0.18,32.5162,118.5007
"ALKALI BASALT [10318]",30.6,59,6.8,26,5,1.68,4.9,0.73,4.1,0.78,2.01,0.31,1.78,0.24,37.73,15
"ALKALI BASALT [27174]",9.46076260102636,27.3062993339124,4.51048917314692,22.9595376777364,6.5759303941067,2.39096873479329,6.71830707013888,1.03726479041982,5.86876536738061,1.09059061692206,2.75587028417039,0.369181475223567,2.19558081103421,0.32255775354517,56.25,-6.4
"ALKALI BASALT [21879]",114,217,25.2,95.1,17.3,4.98,13.1,1.6,7.53,1.17,2.78,0.32,1.69,0.22,34,105
"ALKALI BASALT [7011] / BASALT [6456]",7.59,18.6,2.91,13.7,3.7,1.24,3.85,0.621,3.43,0.64,1.6,0.222,1.3,0.175,19.74,-155.05
"BASALT [2662]",52.1,104,12.81,51.98,10.2,2.83,8.09,1.13,5.91,1.07,2.61,0.33,1.89,0.28,-16.5,-151.5
"ALKALI BASALT [11859]",34.322,72.158,7.105,40.382,7.327,2.498,7.696,1.014,4.568,0.768,2.087,0.294,1.354,0.197,23.67,69.67
"ALKALI BASALT [20550]",27.42,54.42,7.18,28.96,5.78,1.66,5.43,0.755,4.11,0.772,2.05,0.273,1.68,0.247,-34.4934,-68.8265
"ALKALI BASALT [12684]",76,132,17,63,11.7,3.44,10.44,1.18,4.96,0.74,2.03,0.27,1.3,0.18,43.67,131.5
"ALKALI BASALT [7579]",11.9,27.6,3.7,16.2,4.6,1.44,5.02,0.78,4.63,0.95,2.68,0.4,2.55,0.42,47.43,-61.73
"ALKALI BASALT [16616] / ALKALI BASALT, OLIVINE [16780]",28,56,6.79,25.1,7.09,2.46,6.98,0.88,4.67,0.76,1.99,0.26,1.51,0.21,41.1,113.5
"ALKALI BASALT [27174]",14.5302431791703,34.5449223520145,5.3154919921293,25.5525461899162,6.76487890158721,2.33692862628229,6.83494346963343,1.08171010099853,6.31890462656819,1.22153964556655,3.11090146236087,0.420048135558819,2.52574615964279,0.37159642214531,56.25,-6.4
"ALKALI BASALT [16042]",24.8,56.8,7.15,32.3,7.53,2.48,7.38,1.03,6.01,1.05,2.73,0.35,2.13,0.3,-46.75,37.75
"ALKALI BASALT [15811]",32,63.1,6.7,28,5.4,1.9,4.8,0.8,4,0.8,2,0.3,2,0.3,37,36
"ALKALI BASALT [25812]",34.3075207531946,69.1875465195588,8.46902260166899,35.5575761436114,7.75700251656566,2.3400637653696,7.03147657044508,0.993631856914532,5.17518691770136,0.891413162898141,2.20068613023135,0.283482498093596,1.62115199242787,0.218129209379294,-7.337191,-36.172266
"ALKALI BASALT [26380]",122,230,27.3,105,18.3,5.17,14.5,1.77,8.12,1.33,2.81,0.325,1.81,0.245,33.9598333333333,104.856333333333
"ALKALI BASALT [16033]",34.9,65.3,8.01,35.07,7.42,2.33,7.59,0.95,5.72,1,2.61,0.33,2.07,0.29,33.4,126.5
"ALKALI BASALT [18602]",15.5575553983929,34.8489845187075,4.96368256403941,22.2546023304553,5.15177766352327,1.78010672645212,5.27651149271137,0.799491215437788,4.38602563928572,0.827956616954474,2.26721804503106,0.315854808554817,1.94678746644427,0.293004647222222,-35.752051,-69.408868
"ALKALI BASALT [7765]",18.661,38.325,5.193,22.5,5.0805,1.687,4.973,0.748,4.0815,0.738,1.798,0.272,1.5305,0.231,53.853,112.951
"ALKALI BASALT, OLIVINE [8935]",26,59,7.8,33,7.1,2.3,6.6,1.1,5.8,1,2.7,0.35,2.1,0.34,53.625,-124.75
"ALKALI BASALT [20197]",38,72.8,7.4,29.8,6.1,1.9,5.9,0.8,4.7,0.8,2.2,0.3,2,0.3,20.67938,-103.5796
"ALKALI BASALT [14465]",35.22,67.41,8.21,32.7,7.31,2.27,6.87,1.01,5.6,1.06,2.83,0.4,2.48,0.39,32.322,-119.614
"ALKALI BASALT [15048]",28.2,61.1,7.39,29.9,6.35,2.1,6.23,0.9,5.01,0.89,2.33,0.3,1.79,0.26,34.8006,36.4097
"TRANSITIONAL BASALT [605] / BASALT [606] / ALKALI BASALT [607]",14.71,35.9,5.04,23,5.63,1.88,6.27,1.11,6.41,1.28,3.49,0.56,3.16,0.476,-0.85,-90.5
"ALKALI BASALT [18473]",40.56,89.63,10.34,40.32,6.097,1.903,5.034,0.6116,3.198,0.5914,1.489,0.2096,1.356,0.1987,35.1875,133.088
"ALKALI BASALT [7525]",28.1,61.7,6.94,29.7,5.7,1.97,4.96,0.71,4.21,0.75,1.96,0.23,1.4,0.19,-49.48,69.67
"ALKALI BASALT [25262]",80.7,144,16.1,60.7,10,3.04,8.01,1.29,6.14,1,2.73,0.34,2,0.33,37.50025,130.85635
"ALKALI BASALT [10915] / HAWAIITE [10950]",25.03,46.98,5.7,24.12,5.62,1.85,5.37,0.85,5.03,0.95,2.43,0.34,1.93,0.3,35.584,-106.128
"ALKALI BASALT [26380]",122,231,27.3,104,18,5,14,1.64,7.44,1.21,2.52,0.291,1.62,0.214,33.9571666666667,104.8825
"ALKALI BASALT, OLIVINE [20548]",33,58.24,7.34,30.31,6.04,2.07,5.93,0.88,4.76,0.85,2.05,0.3,1.75,0.26,32.2513,118.8913
"ALKALI BASALT [20856]",42.2,82.5,10.3,42.5,9.08,2.89,8.61,1.26,6.53,1.21,2.95,0.39,2.23,0.31,40.04,113.6
"ALKALI BASALT [5942]",22.3,47.6,6.82,30,7.88,2.72,8.34,1.26,7.27,1.4,3.42,0.457,2.71,0.389,33.69,171.55
"ALKALI BASALT [18602]",20.29181952167,42.0803932628231,5.9176865478851,25.6835821725034,5.69152988093909,1.85594585889014,5.68674169213292,0.847627663823511,4.75573909025845,0.882725604526686,2.3761319714755,0.335745699893661,2.04594471133201,0.29973145526839,-36.373194,-68.5763
"ALKALI BASALT [19601] / NOT GIVEN [25259] / BASALT [757]",51.1,98.4,12.9,48.6,8.89,2.7,8.54,1.11,6.1,1.06,2.85,0.34,2.2,0.32,-25.07,-130.1
"ALKALI BASALT [20426]",50.41,100.3,11.87,45.5,8.35,2.57,6.77,0.94,4.97,0.91,2.17,0.29,1.67,0.25,-14.6645,-174.8875
"ALKALI BASALT [1236]",34.67,75.54,9.56,38.38,8.44,2.49,7.51,1.19,5.87,1.04,2.42,0.33,1.86,0.27,-17.532,-149.8245
"ALKALI BASALT [1236] / BASALT [94]",43.52,99.58,12.82,51.49,10.75,3.16,9.31,1.44,6.85,1.17,2.61,0.34,1.85,0.25,-17.6655,-149.525
"ALKALI BASALT [19384]",50.1,97.1,11.82,45,9.16,3.09,7.51,1,4.61,0.7,1.46,0.15,0.79,0.09,40.8,114.5
"ALKALI BASALT [21802]",133,256,29.7,114,20.7,5.98,15.7,1.96,9.26,1.44,3.34,0.39,2.15,0.28,34,105
"ALKALI BASALT, OLIVINE [23512]",24.2,50,6.29,25.9,5.74,2.1,6.86,1.02,6.13,1.23,3.61,0.49,3.3,0.5,25.2857,37.6517
"ALKALI BASALT [9738]",31.3,65.27,8.47,34.97,6.53,2.11,5.72,0.85,4.35,0.74,1.83,0.22,1.37,0.2,24.5835,102.0797
"ALKALI BASALT [19430]",23.5,43.5,5.7,26.4,6.51,2.08,6.02,0.87,5.1,0.91,2.28,0.3,1.84,0.25,33.4,126.5
"ALKALI BASALT [25928]",31.1,62.4,7.33,30.8,7.1,2.34,6.2,0.9,5,0.9,2.1,0.27,1.6,0.22,33.4,126.5
"ALKALI BASALT [10209]",13.9,30,3.77,16,3.84,1.42,4.18,0.644,3.8,0.724,1.93,0.272,1.76,0.252,-35.2844,173.4804
"ALKALI BASALT, OLIVINE [15088]",25.610075750524,53.1823744461001,6.31935932222084,26.2741616160544,5.28758087829484,1.65071704056661,4.70209454935118,0.76299027793115,3.77348185819075,0.697444577328384,1.75318821953135,0.220497722026683,1.38616932454073,0.19550912868697,36.1958,118.9988
"ALKALI BASALT [23234]",45,86,10,41.3,7.99,2.7,7.78,1.1,5.78,1.06,2.71,0.39,2.09,0.33,45,107
"ALKALI BASALT, OLIVINE [17526]",21.5,44.6,5.7,24.7,5.66,1.89,5.69,0.91,4.9,0.9,2.28,0.31,1.8,0.25,47.8783,121.2233
"ALKALI BASALT [9840]",23.9,48.4,6.28,26.4,5.95,1.98,5.71,0.88,4.6,0.86,2.25,0.33,1.88,0.26,19.922,-96.608
"ALKALI BASALT [21180]",23.8,44,4.8,4,19.3,1.33,3.87,0.64,3.02,0.58,1.45,0.21,1.15,0.16,36,51
"ALKALI BASALT [12149]",12.1,28.6,3.72,17.3,4.12,1.45,4.61,0.79,4.87,1.1,2.85,0.43,3.12,0.45,45.1,141.27
"ALKALI BASALT [11205]",16.9,35.5,5.21,21.72,4.79,1.86,4.88,0.82,4.16,0.97,2.49,0.45,2.2,0.37,19.0748,-99.0975
"BASANITE [15088]",38.8089427610278,77.5938898734422,8.96005270201781,36.301811478396,7.01357476085831,2.14852831132417,6.03653950136868,0.934142668103414,4.482181198415,0.775257729524693,1.8730004815298,0.228803116301745,1.35401493009913,0.190485118313389,36.1159,118.7553
"ALKALI BASALT [23225]",48.2,98.1,10.35,40.4,6.34,1.78,5.19,0.76,4.26,0.75,2.09,0.33,1.91,0.29,38.24,44.34
"ALKALI BASALT [22270]",36.3,76.3,9.59,37.6,8.11,2.73686201759584,6.63340334098176,0.958003371547921,4.91,0.888,2.11,0.309,1.44,0.21,44.537,129.9968
"ALKALI BASALT [28546]",23.64,55.04,7.44,33.39,7.48,2.411,7.44,1.069,6.74,1.279,3.56,0.494,3.2,0.447,-15.6707,12.791
"BASANITE [15088]",44.172914609193,88.3594018228557,10.1275762937806,40.6085423975436,7.73337011843049,2.38292448427357,6.63815611201929,1.02819352227791,4.91284153650664,0.85089607840908,2.04793380836469,0.250643132056488,1.51582463160052,0.207972904495491,36.2856,119.0064
"BASALT [6967] / NOT GIVEN [19195]",29.29,58.67,6.86,29,6.46,1.99,5.81,0.86,4.83,0.88,2.13,0.28,1.63,0.24,-14.217,-169.064
"ALKALI BASALT [23864]",37.2,85.3,11.4,45.5,7.7,2.19,5.3,0.68,3.33,0.57,1.43,0.18,1.12,0.16,35.9225,56.4858
"ALKALI BASALT [28543]",45.9282949833666,85.0632281037924,10.548061423819,43.3498947704591,9.46301519627412,3.09328095808383,8.78827497005988,1.22692151696607,6.69411576846307,1.16597508982036,2.89745309381237,0.359683832335329,2.0868323087159,0.297738283433134,40,113.8
"ALKALI BASALT [23682]",31.9,68.3,8.42,34.7,7.3,2.38,6.1,0.9,4.5,0.8,2,0.25,1.5,0.23,-26,-80
"ALKALI BASALT [27174]",9.75156485734005,27.731850499335,4.5067207062345,22.9850822246571,6.41046309881333,2.3641790190362,6.3776983776303,0.9734689458789,5.26675305903285,0.936630366675793,2.2732340289333,0.30883497773424,1.78837037575262,0.268140777942222,56.25,-6.4
